,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
135,dhimskyy/wiki-bert,glue/cola,dhimskyy/wiki-bert,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.476235628128052,-0.6347504245120459
136,kyleinincubated/autonlp-cat333-624217911,glue/cola,kyleinincubated/autonlp-cat333-624217911,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.101736545562744,-0.6347940435551751
137,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,glue/cola,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.144362688064575,-0.634985142613637
138,Raychanan/COVID_RandomOver,glue/cola,Raychanan/COVID_RandomOver,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.190759897232056,-0.6349851608269474
139,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,glue/cola,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.4931557178497314,-0.6353254799372976
140,elozano/tweet_offensive_eval,glue/cola,elozano/tweet_offensive_eval,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.846214294433594,-0.6359174628153434
141,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,glue/cola,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.156705617904663,-0.6360373331251536
142,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,glue/cola,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.151899099349976,-0.6361149914556288
143,IMSyPP/hate_speech_nl,glue/cola,IMSyPP/hate_speech_nl,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.48472285270691,-0.6367964503768581
144,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,glue/cola,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.103733777999878,-0.6392114885788309
145,w11wo/sundanese-bert-base-emotion-classifier,glue/cola,w11wo/sundanese-bert-base-emotion-classifier,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.547246217727661,-0.6446899805661455
146,philschmid/tiny-distilbert-classification,glue/cola,philschmid/tiny-distilbert-classification,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,2.449342727661133,-0.9560995981217248
